"","hsa-let-7e","hsa-mir-106a","hsa-mir-10a","hsa-mir-128-1","hsa-mir-128-2","hsa-mir-141","hsa-mir-146a","hsa-mir-146b","hsa-mir-150","hsa-mir-155","hsa-mir-17","hsa-mir-182","hsa-mir-183","hsa-mir-18a","hsa-mir-200c","hsa-mir-20a","hsa-mir-20b","hsa-mir-215","hsa-mir-29a","hsa-mir-335","hsa-mir-34c","hsa-mir-363","hsa-mir-381","hsa-mir-4661","hsa-mir-4772","hsa-mir-485","hsa-mir-629","hsa-mir-651","hsa-mir-708","hsa-mir-9-1","hsa-mir-9-2","hsa-mir-9-3","hsa-mir-92a-1","hsa-mir-92a-2","hsa-mir-93","hsa-mir-96"
"TCGA-GV-A40E",9.37448594735019,1.69009521906174,10.994082420943,5.9978913585651,5.95322085846218,10.139588282617,6.85745234954375,8.56709742970315,6.17506445410359,7.8477358265139,9.67488626707158,12.8022257044831,12.0578607905513,5.82450036470086,12.051914868478,9.15255654541516,3.22503178626532,0.638486307878125,13.2508747124628,6.32284173480289,2.11775155265907,1.69009521906174,6.10678341189142,1.69009521906174,2.71522325107787,2.44719804197732,6.78647290425302,2.51901520211101,5.10440774434528,9.58258209931592,9.58519843345088,9.58937472550476,12.5338356803023,12.5330228407682,13.4297225326672,4.82161078400457
"TCGA-FD-A43S",9.12896359466683,3.20687620542003,12.4697226229405,4.82066561754475,4.79776412537991,7.13124482975597,6.71772850992807,8.02556869053314,10.4431895973872,6.86132114342265,7.36634181727798,9.44813740350837,7.34379140025839,2.25790221792212,10.8633202902996,7.56251059554016,3.02163198411109,0.638135947051931,12.5946402655449,3.18938622921327,0.737755974504175,2.07951055477016,5.2832112478075,0.638135947051931,0.83093999554341,2.41664304648427,4.7267940050453,1.58628004128535,4.03160233942474,6.49736494998571,6.52027968498262,6.53246927906415,11.6865778533025,11.6756769888855,11.6683472776804,0.737755974504175
"TCGA-FD-A43U",9.35176709729351,4.31517427584099,12.2468544932865,4.90891294201337,4.87097767309185,8.29476213067239,7.54498284200127,8.97413281800359,8.98527281388708,8.13988380413862,8.41744485798157,10.7041530308679,8.9606502748885,3.37237253614309,10.4310759090014,8.26946896178302,3.34495983874628,0.831595969291983,12.0229969111039,5.00836717035714,3.87223107441475,1.65262232557565,5.87514945869173,0.831595969291983,2.50536226802464,3.7728743200823,5.65843943912614,1.82125019338063,6.12926881663389,5.60166226097992,5.6805391133619,5.67504583677208,12.1773417888966,12.1788587783834,12.5106010177194,2.60116069464723
"TCGA-FD-A5BS",8.09419835487178,1.7319769400248,11.4111212361109,4.76337146954013,4.61634840367679,8.61355378232287,7.28487704702839,9.43651230322866,8.96186874440105,8.81391342579011,8.87273843131865,11.589825908463,10.0108584053764,3.98729266669637,11.7862201932563,8.60440271765068,2.28383615603688,2.45650785630543,12.6463558917209,2.9365725510484,2.37275378334219,1.16240792594889,4.81188076349666,0.947651944824116,4.01518237361024,2.37275378334219,4.87412232120585,1.25887827232393,6.1395514956451,8.61924386332433,8.68474486204715,8.60038080183969,11.7717956391289,11.8005019523367,12.5157065686279,2.64680942030734
"TCGA-FJ-A3Z9",10.6164213709867,3.46117766531381,12.6232114563044,5.22882523069858,5.05749511200861,12.1251758495687,5.22882523069858,7.44672403724413,7.72080330332274,5.91728626118634,10.9416646257062,14.4165864973771,13.467606066259,5.28965824795111,14.6144081347313,10.2818290579453,3.32830368288281,2.46522877058343,10.7758828001108,8.37400745717155,0.71898274183645,0.977485824898282,4.17947514168647,1.841604047636,1.19663285123602,2.28573481420882,5.85424061515163,2.18685358173262,6.91691656351788,8.91952925093574,8.93484568793195,9.02258319409447,13.3617540193151,13.3516251556646,14.735173305432,5.02923266583317
"TCGA-FD-A5C1",9.01295191109353,2.58203398535232,12.8779818623653,4.20612860952753,3.93922836463752,9.73373647706849,7.0572073005804,9.90769337627514,9.40003488600549,8.53176987531066,8.52201536980585,11.864006022919,10.6680282360862,3.08436178995943,12.8051983490985,8.02785505913886,3.61148213662348,1.52127039186245,12.9999374698256,6.90790623196562,3.28224807544382,1.16797315800335,4.69706007823604,0.699088723218517,2.58203398535232,2.85495134051391,5.21574801201902,1.80484492369824,6.69000597783073,8.16266034489782,8.10828546709599,8.17204673192869,11.8499417294317,11.857960632074,12.6129769820827,3.61148213662348
"TCGA-LT-A5Z6",8.17785143965051,6.54328623817079,14.2566573827957,3.67664462189516,3.25333309910062,12.686090096479,6.43900942950694,7.54811854936295,8.61176886631009,8.63850104920559,10.9298421521663,12.9464011775553,11.4196030355579,6.17253791934768,14.3385028444023,10.6721760126472,8.33501695208519,1.15015670547078,10.8244859696901,5.08420329612237,3.67664462189516,5.86569309131268,2.65167881856221,1.78188884948007,1.15015670547078,1.15015670547078,6.75353781757894,1.600412969094,5.32265542655693,11.8384106591804,11.8316694264378,11.8202014077986,12.6361168087816,12.6382339576217,14.8081669118477,5.4079961774429
"TCGA-DK-A6B6",7.70612420205878,4.86061503963497,13.4837883962746,4.61311404777895,4.5081360904614,11.8239887707635,8.61057972550242,9.82358777877619,9.25707735404111,8.29536964401958,9.30748246130543,14.5109383061621,12.6483538786382,4.13773253341052,14.7365225782002,9.05140436458528,5.83557022708036,1.44229596188086,11.7048380463069,4.77270206490661,1.44229596188086,3.57018262263877,2.86742424994565,2.48028606424983,2.86742424994565,1.71810512421913,5.16684067124461,1.10099109936412,6.94186522859569,9.75928120676931,9.83267424077169,9.88427615410456,12.7981585708465,12.8163657157772,13.3162384431766,5.86421120894096
"TCGA-DK-A6B5",9.22557722086715,2.8592402663911,13.9891465476169,5.95417839293398,5.82745375809994,10.4707623255146,6.75791087909157,9.35219819538069,7.0822674546067,7.16670651846406,9.0489227309185,14.1831386521557,12.7291564623959,3.89752680600354,13.8930426170658,9.02650132471484,4.1862557826529,1.45305394593552,11.4799419418842,7.50985273757047,2.89338512283157,2.67522789618635,4.01073213595115,1.54184041269842,2.10499176301357,1.35844296310732,6.56220265414295,3.55762979247502,4.95722502244418,10.7314168789223,10.7223928435827,10.7334800285882,12.4027418352497,12.396477561282,13.351471232429,5.36871873377318
"TCGA-FJ-A871",9.94754432929797,2.50407117399266,14.6882108204994,5.07509971492344,5.38037316299595,6.50332545339301,4.68739970424116,6.72344422527077,5.38037316299595,5.72433728099853,9.02925682927058,10.1330766742737,8.95104929747685,4.15560563593339,9.12654224957018,8.780637253947,1.26414725618745,0.952011440354454,12.920410118031,4.85982263821944,5.01382092369877,0.553148138725602,8.2689999408903,1.73830091161746,1.92740498164867,5.03453774098669,6.70417718211706,0.553148138725602,4.66099533917307,9.14094363568169,9.14332995192024,9.1492785307393,12.8499300871791,12.8521199790858,12.939673242793,2.50407117399266
